Lake,Sim,year,zone,variable,value
Sunapee,6,2012,epi,Temp,14.122150471901342
Sunapee,6,2013,epi,Temp,14.396575434907678
Sunapee,6,2014,epi,Temp,13.130742675665553
Sunapee,7,2004,epi,Temp,14.920963510660993
Sunapee,7,2005,epi,Temp,14.217081184962344
Sunapee,7,2006,epi,Temp,14.075448384783657
Sunapee,7,2007,epi,Temp,14.628380537697707
Sunapee,7,2008,epi,Temp,14.329528145533176
Sunapee,7,2009,epi,Temp,15.108524997324114
Sunapee,7,2010,epi,Temp,14.663562849376083
Sunapee,7,2011,epi,Temp,14.808750781086331
Sunapee,7,2012,epi,Temp,14.780064516634777
Sunapee,7,2013,epi,Temp,15.199981936413385
Sunapee,7,2014,epi,Temp,13.730926347924186
